"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"827080","386","Ozone (O3)","Mean","ppb","UHF34","104","Pelham - Throgs Neck","Summer 2022","2022-06-01T00:00:00.000","33.3",
"827061","386","Ozone (O3)","Mean","ppb","UHF34","405","Ridgewood - Forest Hills","Summer 2022","2022-06-01T00:00:00.000","34.2",
"827067","386","Ozone (O3)","Mean","ppb","UHF34","302","Central Harlem - Morningside Heights","Summer 2022","2022-06-01T00:00:00.000","30.9",
"827081","386","Ozone (O3)","Mean","ppb","UHF34","103","Fordham - Bronx Pk","Summer 2022","2022-06-01T00:00:00.000","31.7",
"825967","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","104","Pelham - Throgs Neck","Summer 2022","2022-06-01T00:00:00.000","12.0",
"825985","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","502","Stapleton - St. George","Summer 2022","2022-06-01T00:00:00.000","8.7",
"827068","386","Ozone (O3)","Mean","ppb","UHF34","301","Washington Heights","Summer 2022","2022-06-01T00:00:00.000","29.9",
"825976","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","101","Kingsbridge - Riverdale","Summer 2022","2022-06-01T00:00:00.000","10.6",
"825933","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","204","East New York","Summer 2022","2022-06-01T00:00:00.000","10.9",
"827079","386","Ozone (O3)","Mean","ppb","UHF34","201","Greenpoint","Summer 2022","2022-06-01T00:00:00.000","32.4",
"823561","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","412","Jamaica and Hollis (CD12)","Summer 2022","2022-06-01T00:00:00.000","6.3",
"823214","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","104","Clinton and Chelsea (CD4)","Summer 2022","2022-06-01T00:00:00.000","8.0",
"826076","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","414","Rockaway and Broad Channel (CD14)","Summer 2022","2022-06-01T00:00:00.000","6.9",
"827063","386","Ozone (O3)","Mean","ppb","UHF34","402","West Queens","Summer 2022","2022-06-01T00:00:00.000","33.6",
"825831","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","107","Upper West Side (CD7)","Summer 2022","2022-06-01T00:00:00.000","14.7",
"823310","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","106","High Bridge - Morrisania","Summer 2022","2022-06-01T00:00:00.000","7.1",
"823397","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","401","Long Island City - Astoria","Summer 2022","2022-06-01T00:00:00.000","7.2",
"823382","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","408","Jamaica","Summer 2022","2022-06-01T00:00:00.000","6.3",
"827051","386","Ozone (O3)","Mean","ppb","UHF34","503504","Southern SI","Summer 2022","2022-06-01T00:00:00.000","35.6",
"825900","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","304","Upper West Side","Summer 2022","2022-06-01T00:00:00.000","14.7",
"823510","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","313","Coney Island (CD13)","Summer 2022","2022-06-01T00:00:00.000","5.8",
"823226","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","406","Fresh Meadows","Summer 2022","2022-06-01T00:00:00.000","6.3",
"825858","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF34","503504","Southern SI","Summer 2022","2022-06-01T00:00:00.000","7.4",
"827106","386","Ozone (O3)","Mean","ppb","UHF42","410","Rockaways","Summer 2022","2022-06-01T00:00:00.000","37.5",
"827012","386","Ozone (O3)","Mean","ppb","CD","313","Coney Island (CD13)","Summer 2022","2022-06-01T00:00:00.000","37.7",
"826339","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","315","Sheepshead Bay (CD15)","Summer 2022","2022-06-01T00:00:00.000","8.5",
"826318","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","308","Crown Heights and Prospect Heights (CD8)","Summer 2022","2022-06-01T00:00:00.000","11.8",
"825733","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","304","Upper West Side","Summer 2022","2022-06-01T00:00:00.000","14.7",
"827082","386","Ozone (O3)","Mean","ppb","UHF34","102","Northeast Bronx","Summer 2022","2022-06-01T00:00:00.000","32.2",
"823424","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","207","East Flatbush - Flatbush","Summer 2022","2022-06-01T00:00:00.000","6.2",
"825799","375","Nitrogen dioxide (NO2)","Mean","ppb","Borough","5","Staten Island","Summer 2022","2022-06-01T00:00:00.000","7.8",
"826010","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","205","Fordham and University Heights (CD5)","Summer 2022","2022-06-01T00:00:00.000","13.7",
"825787","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","104","Pelham - Throgs Neck","Summer 2022","2022-06-01T00:00:00.000","12.0",
"827017","386","Ozone (O3)","Mean","ppb","CD","308","Crown Heights and Prospect Heights (CD8)","Summer 2022","2022-06-01T00:00:00.000","33.4",
"827045","386","Ozone (O3)","Mean","ppb","CD","104","Clinton and Chelsea (CD4)","Summer 2022","2022-06-01T00:00:00.000","29.5",
"826019","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","208","Riverdale and Fieldston (CD8)","Summer 2022","2022-06-01T00:00:00.000","10.6",
"827122","386","Ozone (O3)","Mean","ppb","UHF42","304","Upper West Side","Summer 2022","2022-06-01T00:00:00.000","29.9",
"823439","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","202","Downtown - Heights - Slope","Summer 2022","2022-06-01T00:00:00.000","6.9",
"825997","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","408","Jamaica","Summer 2022","2022-06-01T00:00:00.000","10.5",
"825766","375","Nitrogen dioxide (NO2)","Mean","ppb","UHF42","204","East New York","Summer 2022","2022-06-01T00:00:00.000","10.9",
"823409","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF34","301","Washington Heights","Summer 2022","2022-06-01T00:00:00.000","7.2",
"826031","375","Nitrogen dioxide (NO2)","Mean","ppb","CD","212","Williamsbridge and Baychester (CD12)","Summer 2022","2022-06-01T00:00:00.000","11.4",
"823319","365","Fine particles (PM 2.5)","Mean","mcg/m3","UHF42","103","Fordham - Bronx Pk","Summer 2022","2022-06-01T00:00:00.000","7.1",
"823555","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","410","South Ozone Park and Howard Beach (CD10)","Summer 2022","2022-06-01T00:00:00.000","6.0",
"823504","365","Fine particles (PM 2.5)","Mean","mcg/m3","CD","311","Bensonhurst (CD11)","Summer 2022","2022-06-01T00:00:00.000","6.0",
"827146","386","Ozone (O3)","Mean","ppb","Borough","3","Manhattan","Summer 2022","2022-06-01T00:00:00.000","30.2",
